date,number
21 January ,330
22 January ,555
23 January ,654
24 January ,941
25 January ,2014
26 January ,2794
27 January ,4473
28 January ,6057
29 January ,7782
30 January ,8234
31 January ,9927
1 February ,12024
2 February ,17294
3 February ,20198
4 February ,24503
5 February ,28274
6 February ,28353
7 February ,34899
8 February ,37549
9 February ,40536
10 February ,42767
